                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.33694,                 1.4257,                0.19592,                0.29644,                0.92647,                0.97906,                  0.975,                0.99078,                0.87344,                 0.8505,                  0.845,                0.79546,                0.45585,                0.52864,                 2.5612,                0.21478,                0.31753,                0.98734,              0.0010099,                9.9e-06,                9.9e-06
                      2,                0.31002,                 1.0978,                0.18714,                0.26563,                0.91977,                0.97911,                 0.9775,                0.99174,                0.87892,                0.86684,                0.84629,                0.81785,                0.47705,                0.52031,                 2.4875,                0.19849,                0.31888,                0.98724,             9.9994e-06,             9.9994e-06,             9.9994e-06
                      3,                0.29259,                 1.0556,                0.18247,                0.25229,                0.91558,                0.98243,                 0.9788,                0.99113,                0.87696,                0.86109,                  0.845,                0.81636,                 0.4784,                0.51865,                 2.4691,                 0.1967,                0.31901,                 0.9863,             9.9976e-06,             9.9976e-06,             9.9976e-06
                      4,                 0.2894,                 1.0186,                0.18182,                0.25641,                0.91159,                0.97999,                0.97929,                0.99126,                0.88021,                 0.8598,                   0.84,                0.81604,                0.48165,                0.51594,                 2.4614,                0.19449,                0.31485,                0.98492,             9.9945e-06,             9.9945e-06,             9.9945e-06
                      5,                0.27925,                0.97659,                 0.1817,                0.25164,                0.91315,                0.97998,                  0.979,                0.99143,                0.87928,                0.85936,                0.84021,                 0.8177,                0.48593,                0.51217,                 2.4534,                0.19342,                0.31051,                0.98448,             9.9902e-06,             9.9902e-06,             9.9902e-06
                      6,                 0.2807,                0.98303,                0.18148,                0.25149,                0.91597,                0.98002,                0.98101,                 0.9914,                0.88031,                0.86471,                 0.8475,                0.82049,                0.49005,                0.51121,                 2.4388,                0.19285,                0.30916,                0.98274,             9.9847e-06,             9.9847e-06,             9.9847e-06
                      7,                  0.273,                0.94671,                0.17815,                0.24793,                0.90436,                0.98486,                0.97558,                0.99166,                0.88407,                0.86166,                 0.8475,                0.82284,                0.48813,                0.51142,                 2.4369,                0.19377,                0.30726,                0.98397,              9.978e-06,              9.978e-06,              9.978e-06
                      8,                0.27757,                0.95031,                0.18567,                0.24805,                0.91422,                0.98195,                 0.9825,                0.99186,                0.88272,                0.85954,                 0.8525,                0.82052,                0.49145,                0.50965,                 2.4222,                 0.1915,                0.30332,                0.98269,             9.9701e-06,             9.9701e-06,             9.9701e-06
                      9,                0.27595,                0.98113,                 0.1811,                0.24702,                0.91386,                0.98495,                 0.9817,                0.99237,                0.88413,                0.85285,                 0.8475,                0.81426,                0.49177,                0.50819,                 2.4269,                0.19271,                0.30105,                0.98175,              9.961e-06,              9.961e-06,              9.961e-06
                     10,                0.26855,                0.91236,                0.18033,                0.24261,                0.90499,                0.98249,                 0.9817,                0.99225,                0.88564,                0.84989,                0.84926,                0.81744,                0.49099,                0.50786,                 2.4317,                0.19284,                0.30181,                0.98014,             9.9506e-06,             9.9506e-06,             9.9506e-06
                     11,                0.27242,                 1.0061,                0.17685,                0.24636,                0.91094,                0.98489,                0.97803,                0.99184,                0.88665,                0.85811,                   0.85,                0.83037,                 0.4986,                0.50753,                 2.4158,                0.18925,                0.30236,                0.97953,             9.9391e-06,             9.9391e-06,             9.9391e-06
                     12,                0.26201,                0.91431,                0.18097,                0.23766,                0.90676,                 0.9874,                0.97964,                0.99238,                0.88739,                0.86142,                0.85472,                0.83411,                0.49889,                0.50674,                 2.4167,                0.18955,                0.30207,                0.97937,             9.9263e-06,             9.9263e-06,             9.9263e-06
                     13,                0.26008,                0.93493,                 0.1816,                0.23856,                0.90263,                0.98489,                0.97772,                0.99169,                0.88615,                0.85159,                0.84634,                0.82841,                0.49814,                0.50712,                 2.4122,                0.19025,                0.30153,                0.98175,             9.9123e-06,             9.9123e-06,             9.9123e-06
                     14,                0.26255,                0.91739,                0.17975,                0.24054,                0.90541,                0.98244,                0.97899,                0.99191,                0.88589,                  0.852,                0.84911,                0.83275,                0.49763,                0.50805,                 2.4078,                0.18806,                0.30144,                0.98058,             9.8972e-06,             9.8972e-06,             9.8972e-06
                     15,                0.25713,                0.89706,                0.17879,                0.23708,                0.90313,                0.98404,                 0.9825,                0.99203,                0.88698,                0.85661,                0.85128,                0.83812,                0.50348,                0.50636,                 2.3997,                0.18892,                0.30225,                0.97867,             9.8808e-06,             9.8808e-06,             9.8808e-06
                     16,                0.26797,                0.93509,                0.17722,                0.24166,                0.90735,                0.97798,                  0.985,                0.99209,                0.88449,                0.85788,                  0.855,                0.83903,                0.50565,                0.50679,                 2.3844,                 0.1868,                0.30206,                0.97972,             9.8632e-06,             9.8632e-06,             9.8632e-06
                     17,                0.25621,                 0.9019,                0.18072,                0.23587,                0.89803,                0.98542,                 0.9775,                0.99248,                0.88454,                0.86156,                0.85573,                0.83892,                0.50338,                0.50584,                 2.3886,                0.18824,                0.29928,                0.97952,             9.8445e-06,             9.8445e-06,             9.8445e-06
                     18,                0.25692,                0.88982,                0.17438,                0.23135,                0.90273,                0.98011,                0.98567,                0.99216,                0.88687,                0.85858,                  0.855,                 0.8362,                0.50798,                0.50658,                 2.3942,                0.19029,                0.30051,                0.97997,             9.8246e-06,             9.8246e-06,             9.8246e-06
                     19,                0.25984,                0.89961,                0.17648,                0.24162,                0.90256,                0.98491,                0.97907,                0.99216,                0.88524,                0.86179,                0.85736,                0.84107,                0.50914,                0.50271,                 2.3844,                0.18632,                0.29769,                0.97742,             9.8035e-06,             9.8035e-06,             9.8035e-06
                     20,                0.26171,                0.89439,                0.17726,                 0.2343,                0.91169,                0.98125,                   0.98,                0.99224,                0.88671,                0.85137,                0.84492,                0.82162,                0.50452,                0.50398,                 2.3938,                0.18993,                0.29921,                0.97726,             9.7812e-06,             9.7812e-06,             9.7812e-06
                     21,                0.25896,                0.86031,                0.17732,                0.23747,                 0.8983,                0.98492,                0.97988,                0.99214,                0.88728,                0.85369,                 0.8475,                0.82221,                0.50347,                0.50564,                 2.3885,                0.18949,                 0.2987,                0.98189,             9.7577e-06,             9.7577e-06,             9.7577e-06
                     22,                0.25713,                0.85817,                0.17918,                 0.2315,                 0.9042,                0.98618,                 0.9825,                0.99202,                0.88578,                0.85543,                 0.8525,                0.82638,                0.50098,                0.50579,                  2.393,                0.19011,                0.29909,                 0.9816,             9.7331e-06,             9.7331e-06,             9.7331e-06
